marca,modelo,ano_vehic,antiguedad,rango_antiguedad,km,combustible,puertas,cv,transmision,ubicacion,particular,precio,segmento_precio,precio_por_cv,stats_visto,stats_favorito,stats_contactado,engagement_score,fuente
SEAT,LEON 1. 9 TDI 150CV SPORT FORMULA RACING,2004.0,17,Clásico (>12a),241.665,Diesel,5.0,150.0,manual,Alicante,Profesional,3.9,Económico (<5K),26.0,7212,8,2,4046.0,Milanuncios
AUDI,A6,2005.0,16,Clásico (>12a),188.212,Diesel,5.0,140.0,manual,Almería,Particular,5.7,Accesible (5-10K),40.71,22604,11,0,11632.0,Milanuncios
MERCEDES-BENZ,CLASE E E 220 D,2017.0,4,Reciente (4-7a),114.0,Diesel,4.0,194.0,automat,Asturias,Profesional,33.9,Premium (20-35K),174.74,2786,0,0,1393.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),2.553,Gasolina,5.0,110.0,manual,Cantabria,Profesional,14.49,Medio (10-20K),131.73,662,0,0,331.0,Milanuncios
RENAULT,CLIO DYNAMIQUE ENERGY DCI 90 SS ECO2,2014.0,7,Reciente (4-7a),104.5,Diesel,5.0,90.0,manual,Madrid,Profesional,6.9,Accesible (5-10K),76.67,1558,4,0,899.0,Milanuncios
CITROEN,BERLINGO TALLA M BLUEHDI 100 LIVE,2018.0,3,Casi nuevo (0-3a),68.0,Diesel,4.0,100.0,manual,Barcelona,Profesional,12.7,Medio (10-20K),127.0,5678,1,0,2869.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),140.82,1535,0,0,768.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,2,Casi nuevo (0-3a),2.175,Gasolina,5.0,110.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),127.18,1685,0,0,842.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE ST,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),136.27,1656,0,0,828.0,Milanuncios
SUZUKI,IGNIS 1. 2 GLE MILD HYBRID,2020.0,1,Casi nuevo (0-3a),5.0,Híbrido,5.0,90.0,manual,Cantabria,Profesional,11.99,Medio (10-20K),133.22,1952,7,0,1186.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),140.82,1481,0,0,740.0,Milanuncios
OPEL,CORSAE,2020.0,1,Casi nuevo (0-3a),5.0,Híbrido,5.0,136.0,automat,Cantabria,Profesional,23.99,Premium (20-35K),176.4,1114,0,0,557.0,Milanuncios
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2021.0,0,Casi nuevo (0-3a),10.0,Diesel,5.0,122.0,manual,Cantabria,Profesional,16.49,Medio (10-20K),135.16,1266,0,0,633.0,Milanuncios
